Error results for RHC,
2607.142,597.39
2607.142,597.39
2607.142,597.39
2607.605,594.051
2619.747,581.412
2607.251,597.337
2607.042,597.48
2606.802,597.414
2606.802,597.414
2638.231,580.115
2606.887,597.374
2606.713,597.466
2606.768,597.509
2606.872,597.513
2606.713,597.466
2692.005,620.624
2606.697,597.461
2605.866,596.667
2756.338,676.243
2602.609,590.03
2602.609,590.03
2602.609,590.03
2602.609,590.03
2602.609,590.03
2602.609,590.03
2602.63,590.024
2602.618,590.007
2602.609,590.03
2602.632,589.978
2602.609,590.03
2602.609,590.03
2602.622,589.996
2602.609,590.03
2602.609,590.03
2602.475,590.074
2604.348,589.501
2602.475,590.074
2602.475,590.074
2602.475,590.074
2602.475,590.074
2602.475,590.074
2602.475,590.074
2602.475,590.074
2602.475,590.074
2602.475,590.074
2602.475,590.077
2602.475,590.074
2602.475,590.074
2602.475,590.074
2602.475,590.074
2602.475,590.074
2602.475,590.074
2602.475,590.101
2602.475,590.074
2602.475,590.074
2602.475,590.071
2602.502,590.23
2602.475,590.074
2602.475,590.074
2602.479,590.096
2638.158,601.999
2602.475,590.074
2604.824,589.322
2602.475,590.074
2602.475,590.074
2602.474,590.081
2602.474,590.081
2644,601.726
2602.474,590.081
2602.474,590.081
2602.432,590.071
2602.432,590.071
2602.432,590.071
2602.432,590.071
2602.432,590.071
2602.432,590.071
2610.229,592.753
2602.432,590.071
2602.432,590.071
2602.432,590.071
2602.432,590.071
2602.68,590.077
2602.655,590.429
2602.432,590.071
2602.5,590.287
2602.217,590.1
2604.669,593.458
2602.217,590.1
2602.217,590.1
2602.217,590.1
2602.216,590.1
2602.216,590.1
2642.063,620.46
2602.835,590.765
2602.216,590.1
2602.216,590.1
2601.949,590.087
2601.949,590.087
2601.949,590.087
2601.957,590.055
2602.495,589.999
2601.949,590.087
2605.231,589.006
2601.949,590.087
2601.947,590.082
2602.256,590.048
2601.947,590.082
2601.954,590.12
2601.944,590.093
2601.929,590.423
2601.942,590.425
2601.929,590.423
2601.929,590.423
2601.929,590.423
2601.929,590.423
2601.942,590.382
2601.929,590.423
2601.887,590.495
2601.887,590.495
2601.887,590.495
2601.887,590.495
2601.887,590.495
2607.695,585.19
2601.887,590.495
2601.892,590.465
2602.088,590.726
2601.887,590.495
2601.887,590.495
2601.925,590.552
2601.88,590.444
2601.88,590.444
2601.88,590.444
2601.812,590.425
2601.812,590.425
2601.823,590.391
2601.812,590.425
2601.812,590.425
2601.812,590.425
2601.812,590.425
2601.644,590.472
2603.381,590.326
2601.644,590.472
2601.644,590.472
2601.644,590.472
2601.644,590.472
2601.644,590.472
2601.678,590.472
2601.644,590.472
2601.602,590.509
2601.602,590.509
2601.602,590.509
2601.602,590.509
2663.278,604.662
2601.602,590.509
2601.619,590.51
